Delivery To Name:,Exported?,Sales Order:,Bin:,Part Number:,Part Description:,Picked By:,Site Qty @ Pick Time,Bin Qty @ Pick Time,Ordered:,Picked:,Time:
Eastwoods,81322,1204133,4.17.2.70,11020201,(67925) COOKING WINE CHINESE (SHAO XING)640MLS (12),samt,0,0,12,0,07/12/2023 6:45
Marine Provisioning,81347,1204151,4.02.3.60,11560202,FRENCH VINAIGRETTE P/C 100X13GMS/CTN,damir,0,0,12,4,07/12/2023 8:49
Hayman Island (General & Dangerous,81535,1204164,C.01.2.70,11120615,CHEESE - BLEU D'AUVERGNE 1.4KG (R/W),spiro,23.352,23.352,3,2.68,07/12/2023 10:04
Hayman Island (General & Dangerous,81535,1204164,3.02.1.10,11460012,NUTS - MIXED ROASTED/SALTED 1KG (10),spiro,0,0,2,1,07/12/2023 10:26
Hayman Island (General & Dangerous,81535,1204164,3.14.2.50,11300005,DATES 1KG (10),spiro,0,0,5,0,07/12/2023 10:31
Hayman Island (General & Dangerous,81535,1204164,5.14.3.30,11121104,CHEESE - F/SERVICE BRIE (R/W),spiro,166.69,41.59,3,2.18,07/12/2023 10:57
Hayman Island (General & Dangerous,81527,1203946,8.34.4.20,11110241,OI**SAUSAGE ROLL - G/F PUMPKIN 50X40G/CTN,damir,2,2,2,0,07/12/2023 16:48
Hayman Island (General & Dangerous,81530,1204006,A.01.1.40,11460658,MILK - LITE WHITE 2 LITRE (3761),damir,53,53,12,0,07/12/2023 16:51
Hayman Island (General & Dangerous,81509,1203671,COI,11430329,HAY OI**BEEF - DICED (R/W),damir,-15.66,-15.66,30,27.12,07/12/2023 17:00
Hayman Island (General & Dangerous,81509,1203671,COI,11430509,HAY OI**LAMB - MINCE R/W,damir,0.1,0.1,15,10.38,07/12/2023 17:02
Hayman Island (General & Dangerous,81528,1203945,FOI,11020104,OI**HONEYCOMB - FULL FRAME 750G,damir,0,0,2,0,07/12/2023 17:07
Hayman Island (General & Dangerous,81519,1203868,2.10.1.35,11020318,OI**COOKING WINE MIRIN 14% ALC 18LT,damir,0,0,1,0,07/12/2023 17:22
Hayman Island (General & Dangerous,81523,1203910,COI,11430138,OI**BEEF - 200G WAGYU BURGER EACH,damir,-110,-110,150,110,07/12/2023 17:26
Hayman Island (General & Dangerous,81514,1203855,COI,11430425,OI*LAMB - RACK SOVERIGN (R/W),damir,0,0,8,0,07/12/2023 17:29
Hayman Island (General & Dangerous,81516,1203857,C.01.2.60,11040103,OI**CHEESE - LARTISAN FERMIER 1KG APPROX R/W,damir,0,0,1,0,07/12/2023 17:31
Hayman Island (General & Dangerous,81521,1203870,FOI,11040080,TART SHELL - LRN SAVOURY ROUND MEDIUM - 120PC,damir,0,0,2,1,07/12/2023 18:23
Hayman Island (General & Dangerous,81503,1203401,8.13.1.80,11520003,PARTY PIES MIXED 72/CTN,justin,0,0,2,0,07/12/2023 19:27
Hayman Island (General & Dangerous,81538,1204264,2.15.4.105,11050161,GATORADE - FIERCE S/BERRY 12X600ML,justin,0,0,1,0,07/12/2023 19:35
Hayman Island (General & Dangerous,81538,1204264,4.12.3.10,11110112,MUESLI BAR - CHEWY CHOC CHIP 185GX10/CTN,justin,0,0,1,0,07/12/2023 19:39
Grand View Hotel - KITCHEN,81475,1204177,2.15.3.70,11020119,FRUIT - CHAO GREEN JACKFRUIT 565G,levi,0,0,6,0,07/12/2023 20:24
Grand View Hotel - KITCHEN,81475,1204177,8.11.1.10,11430610,PORK - KING CUTLET BARKERS CREEK (R/W),levi,182.025,182.025,4.8,4.76,07/12/2023 21:04
Grand View Hotel - KITCHEN,81474,1204058,FOI,11610060,OI**DAGWOOD DOG MINI 30X54G/CTN,levi,0,0,3,0,07/12/2023 21:12
Avenue Cafe,81483,1204271,10.09.3.20,11160601,CUP - VITTORIA 8OZ CTN/500 (3510),levi,2,0,4,3,07/12/2023 21:50
Harrup Park Kitchen,81457,1204325,DOI,11040077,OI**SPRINKLES - CAKETOPS RAINBOW 1.5KG,gregory,0,0,1,0,07/12/2023 22:36
Ocean International Hotel,81456,1204219,5.10.1.20,11010082,SEMI-DRIED TOMATOES (SANDHURST) 2KG (2),davidm,124,124,1,0,07/12/2023 22:57
